Accession No.,Title,Subtitle,Author 1,Author 2,Author 3,Edition,Publisher,Place,Year,Subject,Class No. ,Location,Availability Message
1,प्राचीन भारत,,,,,,कैलाश प्रकाशन,औरंगाबाद,1997,History,954.01,History,Krupaya upalabdhtesathi Accession No. (1) counter-var sanga.
2,प्राचीन भारत,,,,,,कैलाश प्रकाशन,औरंगाबाद,1997,History,954.01,History,Krupaya upalabdhtesathi Accession No. (2) counter-var sanga.
3,प्राचीन भारत,,,,,,कैलाश प्रकाशन,औरंगाबाद,1997,History,954.01,History,Krupaya upalabdhtesathi Accession No. (3) counter-var sanga.
4,प्राचीन भारत,,,,,,कैलाश प्रकाशन,औरंगाबाद,1997,History,954.01,History,Krupaya upalabdhtesathi Accession No. (4) counter-var sanga.
5,प्राचीन भारत,,,,,,कैलाश प्रकाशन,औरंगाबाद,1997,History,954.01,History,Krupaya upalabdhtesathi Accession No. (5) counter-var sanga.
6,मोगलकालीन भारत,,,,,,रत्नदीप प्रकाशन,उदगीर,1997,History,954.02,History,Krupaya upalabdhtesathi Accession No. (6) counter-var sanga.
7,मोगलकालीन भारत,,,,,,रत्नदीप प्रकाशन,उदगीर,1997,History,954.02,History,Krupaya upalabdhtesathi Accession No. (7) counter-var sanga.
8,मोगलकालीन भारत,,,,,,रत्नदीप प्रकाशन,उदगीर,1997,History,954.02,History,Krupaya upalabdhtesathi Accession No. (8) counter-var sanga.
9,मोगलकालीन भारत,,,,,,रत्नदीप प्रकाशन,उदगीर,1997,History,954.02,History,Krupaya upalabdhtesathi Accession No. (9) counter-var sanga.
10,मोगलकालीन भारत,,,,,,रत्नदीप प्रकाशन,उदगीर,1997,History,954.02,History,Krupaya upalabdhtesathi Accession No. (10) counter-var sanga.
11,राजकीय सिद्धांत,,,,,,,,0,POLITICAL SCIENCE,320.01,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (11) counter-var sanga.
12,राजकीय सिद्धांत,,,,,,,,0,POLITICAL SCIENCE,320.01,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (12) counter-var sanga.
13,राजकीय सिद्धांत,,,,,,,,0,POLITICAL SCIENCE,320.01,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (13) counter-var sanga.
14,राजकीय सिद्धांत,,,,,,,,0,POLITICAL SCIENCE,320.01,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (14) counter-var sanga.
15,राजकीय सिद्धांत,,,,,,,,0,POLITICAL SCIENCE,320.01,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (15) counter-var sanga.
16,भारतीय गणराज्याचे शासन राजकारण,,,,,,,,0,POLITICAL SCIENCE,320.454,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (16) counter-var sanga.
17,भारतीय गणराज्याचे शासन राजकारण,,,,,,,,0,POLITICAL SCIENCE,320.454,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (17) counter-var sanga.
18,भारतीय गणराज्याचे शासन राजकारण,,,,,,,,0,POLITICAL SCIENCE,320.454,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (18) counter-var sanga.
19,भारतीय गणराज्याचे शासन राजकारण,,,,,,,,0,POLITICAL SCIENCE,320.454,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (19) counter-var sanga.
20,भारतीय गणराज्याचे शासन राजकारण,,,,,,,,0,POLITICAL SCIENCE,320.454,POLITICAL SCIENCE,Krupaya upalabdhtesathi Accession No. (20) counter-var sanga.
21,सामाजिक परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (21) counter-var sanga.
22,सामाजिक परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (22) counter-var sanga.
23,सामाजिक परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (23) counter-var sanga.
24,सामाजिक परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (24) counter-var sanga.
25,सामाजिक परिवर्तन,,,,,,,,0,SOCIOLOGY,301.254,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (25) counter-var sanga.
26,सामाजिक संस्था,,,,,,,,0,SOCIOLOGY,302.5,SOCIOLOGY,Krupaya upalabdhtesathi Accession No. (26) counter-var sanga.
27,एकांकी,,,,,,साहित्य प्रकाशन,इलाहाबाद,0,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (27) counter-var sanga.
28,एकांकी,,,,,,साहित्य प्रकाशन,इलाहाबाद,0,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (28) counter-var sanga.
29,एकांकी,,,,,,साहित्य प्रकाशन,इलाहाबाद,0,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (29) counter-var sanga.
30,प्रतिनिधी व्यंग,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (30) counter-var sanga.
31,प्रतिनिधी व्यंग,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (31) counter-var sanga.
32,प्रतिनिधी व्यंग,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (32) counter-var sanga.
33,प्रतिनिधी व्यंग,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (33) counter-var sanga.
34,प्रतिनिधी व्यंग,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (34) counter-var sanga.
35,गद्य के विविध रंग,,,,,,सुमित्र प्रकाशन,दिल्ली,1994,Hindi,891.454,Hindi,Krupaya upalabdhtesathi Accession No. (35) counter-var sanga.
36,गद्य के विविध रंग,,,,,,सुमित्र प्रकाशन,दिल्ली,1994,Hindi,891.454,Hindi,Krupaya upalabdhtesathi Accession No. (36) counter-var sanga.
37,गद्य के विविध रंग,,,,,,सुमित्र प्रकाशन,दिल्ली,1994,Hindi,891.454,Hindi,Krupaya upalabdhtesathi Accession No. (37) counter-var sanga.
38,गद्य के विविध रंग,,,,,,सुमित्र प्रकाशन,दिल्ली,1994,Hindi,891.454,Hindi,Krupaya upalabdhtesathi Accession No. (38) counter-var sanga.
39,गद्य के विविध रंग,,,,,,सुमित्र प्रकाशन,दिल्ली,1994,Hindi,891.454,Hindi,Krupaya upalabdhtesathi Accession No. (39) counter-var sanga.
40,दो व्यंग नाटक,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (40) counter-var sanga.
41,दो व्यंग नाटक,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (41) counter-var sanga.
42,दो व्यंग नाटक,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (42) counter-var sanga.
43,दो व्यंग नाटक,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (43) counter-var sanga.
44,दो व्यंग नाटक,,,,,,राजकमल प्रकाशन,नई दिल्ली,1994,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (44) counter-var sanga.
45,चेतना कं संस्कार,,विश्वनाथ प्रसाद तिवारी,सदानंद,,,वाणी प्रकाशन,न्यू दिल्ली,1993,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (45) counter-var sanga.
46,चेतना कं संस्कार,,विश्वनाथ प्रसाद तिवारी,सदानंद,,,वाणी प्रकाशन,न्यू दिल्ली,1993,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (46) counter-var sanga.
47,चेतना कं संस्कार,,विश्वनाथ प्रसाद तिवारी,सदानंद,,,वाणी प्रकाशन,न्यू दिल्ली,1993,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (47) counter-var sanga.
48,चेतना कं संस्कार,,विश्वनाथ प्रसाद तिवारी,सदानंद,,,वाणी प्रकाशन,न्यू दिल्ली,1993,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (48) counter-var sanga.
49,चेतना कं संस्कार,,विश्वनाथ प्रसाद तिवारी,सदानंद,,,वाणी प्रकाशन,न्यू दिल्ली,1993,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (49) counter-var sanga.
50,मृदू गंध,,,,,,,,0,Marathi,891.461,Marathi,Krupaya upalabdhtesathi Accession No. (50) counter-var sanga.
51,मृदू गंध,,,,,,,,0,Marathi,891.461,Marathi,Krupaya upalabdhtesathi Accession No. (51) counter-var sanga.
52,मृदू गंध,,,,,,,,0,Marathi,891.461,Marathi,Krupaya upalabdhtesathi Accession No. (52) counter-var sanga.
53,मृदू गंध,,,,,,,,0,Marathi,891.461,Marathi,Krupaya upalabdhtesathi Accession No. (53) counter-var sanga.
54,मृदू गंध,,,,,,,,0,Marathi,891.461,Marathi,Krupaya upalabdhtesathi Accession No. (54) counter-var sanga.
55,काव्यधारा,,,,,,,,0,Hindi,891.461,Hindi,Krupaya upalabdhtesathi Accession No. (55) counter-var sanga.
56,काव्यधारा,,,,,,,,0,Hindi,891.461,Hindi,Krupaya upalabdhtesathi Accession No. (56) counter-var sanga.
57,काव्यधारा,,,,,,,,0,Hindi,891.461,Hindi,Krupaya upalabdhtesathi Accession No. (57) counter-var sanga.
58,काव्यधारा,,,,,,,,0,Hindi,891.461,Hindi,Krupaya upalabdhtesathi Accession No. (58) counter-var sanga.
59,काव्यधारा,,,,,,,,0,Hindi,891.461,Hindi,Krupaya upalabdhtesathi Accession No. (59) counter-var sanga.
60,Practical English Grammer,,,,,,,,0,English,425,English,Krupaya upalabdhtesathi Accession No. (60) counter-var sanga.
61,Practical English Grammer,,,,,,,,0,English,425,English,Krupaya upalabdhtesathi Accession No. (61) counter-var sanga.
62,Practical English Grammer,,,,,,,,0,English,425,English,Krupaya upalabdhtesathi Accession No. (62) counter-var sanga.
63,Practical English Grammer,,,,,,,,0,English,425,English,Krupaya upalabdhtesathi Accession No. (63) counter-var sanga.
64,Practical English Grammer,,,,,,,,0,English,425,English,Krupaya upalabdhtesathi Accession No. (64) counter-var sanga.
65,Treasure Island,,R. L. Stevenson,,,,Orient Longman,Delhi,1995,English,823,English,Krupaya upalabdhtesathi Accession No. (65) counter-var sanga.
66,Treasure Island,,R. L. Stevenson,,,,Orient Longman,Delhi,1995,English,823,English,Krupaya upalabdhtesathi Accession No. (66) counter-var sanga.
67,Treasure Island,,R. L. Stevenson,,,,Orient Longman,Delhi,1995,English,823,English,Krupaya upalabdhtesathi Accession No. (67) counter-var sanga.
68,Treasure Island,,R. L. Stevenson,,,,Orient Longman,Delhi,1995,English,823,English,Krupaya upalabdhtesathi Accession No. (68) counter-var sanga.
69,Treasure Island,,R. L. Stevenson,,,,Orient Longman,Delhi,1995,English,823,English,Krupaya upalabdhtesathi Accession No. (69) counter-var sanga.
70,wings of poesy,,N. K. Mishra,Mukhergee,,,S. chand and co.,Delhi,1995,English,821,English,Krupaya upalabdhtesathi Accession No. (70) counter-var sanga.
71,wings of poesy,,N. K. Mishra,Mukhergee,,,S. chand and co.,Delhi,1995,English,821,English,Krupaya upalabdhtesathi Accession No. (71) counter-var sanga.
72,wings of poesy,,N. K. Mishra,Mukhergee,,,S. chand and co.,Delhi,1995,English,821,English,Krupaya upalabdhtesathi Accession No. (72) counter-var sanga.
73,wings of poesy,,N. K. Mishra,Mukhergee,,,S. chand and co.,Delhi,1995,English,821,English,Krupaya upalabdhtesathi Accession No. (73) counter-var sanga.
74,wings of poesy,,N. K. Mishra,Mukhergee,,,S. chand and co.,Delhi,1995,English,821,English,Krupaya upalabdhtesathi Accession No. (74) counter-var sanga.
75,wings of poesy,,N. K. Mishra,Mukhergee,,,S. chand and co.,Delhi,1995,English,821,English,Krupaya upalabdhtesathi Accession No. (75) counter-var sanga.
76,The Merchant of Venice,,Shakespeare,,,,OUP,Delhi,1995,English,822,English,Krupaya upalabdhtesathi Accession No. (76) counter-var sanga.
77,The Merchant of Venice,,Shakespeare,,,,OUP,Delhi,1995,English,822,English,Krupaya upalabdhtesathi Accession No. (77) counter-var sanga.
78,The Merchant of Venice,,Shakespeare,,,,OUP,Delhi,1995,English,822,English,Krupaya upalabdhtesathi Accession No. (78) counter-var sanga.
79,आधुनिक भारताचा इतिहास,,,,,,,,0,History,954.03,History,Krupaya upalabdhtesathi Accession No. (79) counter-var sanga.
80,काव्यधारा,,,,,,,,0,Hindi,891.461,Hindi,Krupaya upalabdhtesathi Accession No. (80) counter-var sanga.
81,चेतना कं संस्कार,,विश्वनाथ प्रसाद तिवारी,सदानंद,,,वाणी प्रकाशन,न्यू दिल्ली,1993,Hindi,891,Hindi,Krupaya upalabdhtesathi Accession No. (81) counter-var sanga.
82,आषाढ का दिन,,,,,,,,0,Hindi,891.433,Hindi,Krupaya upalabdhtesathi Accession No. (82) counter-var sanga.
83,आधे अधुरे,,,,,,,,0,Hindi,891.432,Hindi,Krupaya upalabdhtesathi Accession No. (83) counter-var sanga.
84,लहरो के राजहंस,,,,,,,,0,Hindi,891.433,Hindi,Krupaya upalabdhtesathi Accession No. (84) counter-var sanga.
85,प्रतिनिधी व्यंग,,,,,,,,0,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (85) counter-var sanga.
86,दो व्यंग नाटक,,,,,,,,0,Hindi,891.437,Hindi,Krupaya upalabdhtesathi Accession No. (86) counter-var sanga.
87,wings of poesy,,N. K. Mishra,Mukhergee,,,S. chand and co.,Delhi,1995,English,821,English,Krupaya upalabdhtesathi Accession No. (87) counter-var sanga.
88,दोन धुर्व,,,,,,,,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (88) counter-var sanga.
89,वारसदार,,,,,,,,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (89) counter-var sanga.
90,आडगावचे चौधरी,,,,,,,,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (90) counter-var sanga.
91,मीठभाकर,,,,,,,,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (91) counter-var sanga.
92,शिळ,,,,,,,,0,Marathi Fiction,891.463,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (92) counter-var sanga.
93,संगीत सौभद्र,,,,,,,,0,Marathi Fiction,891.462,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (93) counter-var sanga.
94,गद्य फुलोरा,,,,,,,,0,Marathi Fiction,891.468,Marathi Fiction,Krupaya upalabdhtesathi Accession No. (94) counter-var sanga.
95,प्राचीन भारत,,,,,,,,0,History,954.01,History,Krupaya upalabdhtesathi Accession No. (95) counter-var sanga.
